SCALE;1.5;
ESC;28 18;47 50
TAB;77 18;47 50
ALT;125 18;47 50
CAPS_LOCK;172 18;47 50
HELP;308 18;47 50
LINE_FEED;357 18;47 50
_40_80;404 18;47 50
NO_SCROLL;452 18;47 50
KEYPAD_UP;588 18;47 50
KEYPAD_DOWN;636 18;47 50
KEYPAD_LEFT;682 18;47 50
KEYPAD_RIGHT;728 18;47 50
F1;810 18;47 50
F3;855 18;47 50
F5;902 18;47 50
F7;948 18;47 50
L_ARROW;28 91;47 50
N_1;75 91;47 50
N_2;121 91;47 50
N_3;170 91;47 50
N_4;216 91;47 50
N_5;262 91;47 50
N_6;310 91;47 50
N_7;356 91;47 50
N_8;404 91;47 50
N_9;452 91;47 50
N_0;498 91;47 50
PLUS;542 91;47 50
MINUS;590 91;47 50
LIRA;636 91;47 50
CLR_HOME;682 91;47 50
INST_DEL;730 91;47 50
KEYPAD_N_7;810 91;47 50
KEYPAD_N_8;858 91;47 50
KEYPAD_N_9;904 91;47 50
KEYPAD_PLUS;952 91;47 50
CTRL;24 140;73 48
Q;96 140;47 50
W;144 140;47 50
E;192 140;47 50
R;238 140;47 50
T;286 140;47 50
Y;332 140;47 50
U;380 140;47 50
I;426 140;47 50
O;474 140;47 50
P;522 140;47 50
AT;566 140;47 50
STAR;615 140;47 50
EXP;662 140;47 50
RESTORE;709 140;68 42
KEYPAD_N_4;810 140;47 50
KEYPAD_N_5;858 140;47 50
KEYPAD_N_6;904 140;47 50
KEYPAD_MINUS;952 140;47 50
RUN_STOP;24 190;47 50
A;120 190;47 50
S;166 190;47 50
D;214 190;47 50
F;262 190;47 50
G;310 190;47 50
H;358 190;47 50
J;404 190;47 50
K;450 190;47 50
L;498 190;47 50
COLON;546 190;47 50
SEMICOL;592 190;47 50
EQUAL;638 190;47 50
RETURN;686 190;92 44
KEYPAD_N_1;810 190;47 50
KEYPAD_N_2;858 190;47 50
KEYPAD_N_3;904 190;47 50
KEYPAD_ENTER;955 190;54 98
CBM;20 235;47 50
L_SHIFT;70 235;70 50
Z;142 235;47 50
X;188 235;47 50
C;236 235;47 50
V;284 235;47 50
B;332 235;47 50
N;380 235;47 50
M;426 235;47 50
COMMA;474 235;47 50
PERIOD;522 235;47 50
SLASH;568 235;47 50
R_SHIFT;616 235;70 50
CRSR_UD;688 235;47 50
CRSR_LR;734 235;47 50
KEYPAD_N_0;810 237;101 50
KEYPAD_DOT;904 237;47 50
SPACE;186 283;433 51
